Review,Like
ㅉㅉ이거노잼핵노잼핵핵노잼  ,0
너무 잼있어요  ,1
한글 자막이 없어.. 브라질 불법 이민자들 애기 같은데 졸 지루함  ,0
나 밖에 없으니까 10점ㅋㅋㅋㅋ  ,1
중후반까지 궁금증을 커져가게 만드는 이야기 전개가 좋아보이는군요  ,1
진짜 재밋내..굿 강추  ,1
한 맺힌 혼은 이승을 떠돈다는 말은 동서양이나 공통인가..  ,1
귀신이 보이는 디아이랑 비슷. 영화란 리얼리티가 아닌 영화일 뿐이다  ,1
재미를 떠나서 좀 어이없는 영화....  ,0
진짜 잼없다 ㅡㅡ;; 진짜 시간 많은사람 할일 없는사람만 보세요~봐도 후회..ㅋㅋ  ,0
끝에 여자유령이 잡아끌자 눈물짓던 주인공이 기겁하는 장면에서 좀 당황  ,1
영혼들이 처음부터 해결해달라고 했으면 됬는데 왜 주인공 식겁 하도록 무섭게 했을까  ,1
"""너도 언젠간 사라질거야"" - 삶과 죽음 사이에서의 갈등,욕망,고통 그리고 선택...  ",1
영화또보고싶다 잘만든영화같음  ,1
학업 판타지는 뭐니뭐니해도 school out. 삐쩍 마른 멸치 배우가 귀엽다.  ,0
가볍게 볼만한 영화. 스페인만의 독특함이 묻어나는거 같다. 아무렇지 않게 화끈한 소재들이 나오는데 재밌었다. 베니돔 가보고 싶어진다  ,1
아메리칸파이 보다 백배는 재미있다^^ 확끈하고 부럽다.. 굿  ,1
즐겁게 볼 수 있는 영화^^  ,1
ocn에서 봣는데 그냥 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ  ,1
아메리칸파이 보다 백배는 재미있다^^ 확끈하고 부럽다..  ,1
남성 우월주의를 보는 듯 해서 별로 좋은영화 같진 않다.  ,0
댓글첨써보는데 지금에와서이걸보다니... 모두연기넘잘하고 소재가현실과똑같다는게참안타깝다.  ,1
여기 나왔던 배우중에 잘 된 배우들이 많은 것 같네요ㅎ  ,1
김수로짱  ,1
아주 재밌게 봤어용  ,1
"저런 선생 학교에 하나쯤 있다면,학교 다닐 맛은 있었을텐데  ",1
울학교 이티가 너무너무 재미있다!  ,1
우리나라의 교육현실은 변화가 필요함  ,1
박보영의연기가좋앗다  ,1
짱  ,1
다시보니 배우가 레전드..  ,1
오~ 송헤고 슴가와 풍만한 엉덩이~~~~~ 나만당할순 엄지  ,1
혜교 왜 이런걸 찍었니?  ,0
한마디로 졸작임 마지막 어이가 없고 코가막힘 ..볼꺼리라고는 송혜교 얼굴뿐  ,0
'시집'이라거나 '무당'이라는 제목이 더 어울리는 듯. 제목이 '페티쉬'에 19금 붙으니 다들 기대하시나본데. 그냥 미국으로 시집간 무당 얘기임  ,1
송혜교 자신을 좀더 버렸더라면... 감독이 좀더 사전 지식을 모았더라면 좋을법했다..  ,1
소재도 좋고 연기력도 좋고 분위기도 좋고 괜찮은데 이야기를 풀어나가는데 너무 대강한 느낌... 영화 만들다가 시간없어서 급하게 마무리 지은 느낌; 그리고 엔딩이 너무 허접하단 느낌이 강하게 듬  ,1
0점은 못주나봐요..ㅠㅠ 어쩔 수 없이 1점 줍니다.  ,0
"소재,영상미는 괜찮았는데...역시나 연출과 긴장감부분에서 허술함을 감출수없네..  ",1
혜교는 예쁨  ,1
"송혜교는 귀여웠지만 남자배우 외모 때문에 감정이입이 어려웠고, 마지막 장면 어색함  ",1
스크루지 출연영화로서 재미도 있었지만 배우들의 연기에 7점을 주고 싶다  ,1
그 시대에 영화관에 불났을것같다. 잠품성은 최고!  ,1
책 읽는 듯. 오랜만에 흑백 영화를 보니 좋은 건 희고 나쁜 건 까맣던 어린 시절이...  ,1
너네가 홀덤을 아느냥  ,1
ㅎ 최고~ 나도 참가하고 싶다 근데 참가비가 없는 현실 ㅋ  ,1
이건 도대체 어디서 보는거죠??  ,1
 이거 재미 있던데: wwe에서는 잘나갓엇는데 영화계에서는 그다지 네요. ㅜ 오스틴 ㅜ  ,1
스티븐오스틴 스톤콜드꼐서 제작하셧는데 4점이머꼬  ,1
스티븐오스틴 스톤콜드꼐서 제작하셧는데 4점이머꼬  ,1
별점10점을 위해 별점신이 오셨다  ,1
재미있게봤어요 마지막은 예상이 갔지만 ㅎ  ,1
수준 낮은 도박영화  그냥 텍사스홀덤 한다 내용끝  ,0
별 5점을 위해 반점신이 오셨다  ,0
한국 개봉 안 했네여 ㅜ.ㅜ  ,1
내 초딩시절의 아련한 추억들 ...  ,0
안나 ㅠㅠ 졸라 이뻐 ㅠㅠㅠㅠ  ,1
이거어기서봐요 한국에서않개봉하지않앗나요  ,1
재밌네요^^  ,1
재밌을것같아요  ,1
빨리 개봉하면 좋겠다..ㅠㅠ 재밋겠어  ,1
최고다 ..  ,1
"애들이여, 어른이 되어라 ..  ",0
아무것도업길레 가브리엘카테리스가 불쌍해서 준다 ㅋㅋㅋㅋㅋ  ,1
다시보고싶어요 어디서 볼 수 있나요?ㅠㅠ  ,1
감독님 최고세요!!  ,1
이정국 감독님 짱이에요 ~ ㅋㅋ 화이팅~  ,1
이정국 감독님 최고입니다! 짱!!  ,1
영화가 좀 길어 중간에 긴장감이 떨어진다고 해야할까...  ,0
책으로 먼저 나와서 그런지 조금 짧네요.조금만 더 줄거리를 넣는다면 좋을것 같네요.  ,1
이 영화의 표지가 괜찮긴 괜찮은데 너무 어두워서 좀 그렇네요..  ,1
무려 반세기 전에 이런 소재를 가지고 애니메이션을 만들었다는 거 자체가 놀랍고 애니메이션 그래픽도 지금과 비교해도 전혀 뒤떨어지지 않음. 크리스마스시절되면 미국에선 꼭 방송할 정도로 레전드 크리스마스 애니메이션..  ,1
정말 소름끼치게 다시 보고 싶다!!!  ,1
정말정말 예뻐요 보고있으면 크리스마스가 기다려지는 행복한 영화:)  ,1
"크리스마스의 상업화, 영악해진 아이들, 그러나 순수한 모습을 잃지않은 찰리브라운!!  ",1
굿  ,1
마음에 듭니다.  ,1
기대 하겠습니다.  ,1
좋습니다.  ,1
기대가 큽니다.  ,1
저시절에 크리스마스의 의미를 다시 생각해 보는구나. BGM으로 쓴 캐롤음악들도 좋음  ,1
정말 재미있었습니다.  ,1
완전 김동욱님 귀여븜 ㅋㅋㅋㅋㅋ 아잉 사랑해여  ,1
시트콤 찾아보다가 보고있는데 연기력 찰지고 시트콤이라 억지부분 있는데 그건 뭐 정다영 왜이리 이쁘냥 ㅎㅎ  ,1
KBS 시트콤중에선 전후로 제일 재미있었다  ,1
이정 역시 멋진 훈남이다.  ,1
본ID:twelve_12 뭐 일단 소녀시대가 나왔기 때문에 10점 드립니다.  ,1
굳굳굳 ㅎㅎㅎ  ,1
재미있음ㅋ  ,1
전개인적으로잼ㅅ었어요!  ,1
"조기종영되어 아쉬웠지만, 정말 재밌는 드라마였습니다.  ",1
저는 하이킥보다 더 재밌는거 같은데 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ  ,1
이제는 끝나지만 슈렉 시리즈만의 동화 재구성은 잊을수가 없을 것  ,1
"3편에서 약간 읅어먹는 분위기였는데, 이번편 외전격으로 참신하게 마무리 잘함. 슈렉시리즈 다봤으면 포에버가 젤재밌을수도......  ",1
슈렉시리즈는 정말 최고에요 마지막이라 너무 아쉬워요ㅠㅠ  ,1
슈렉시리즈는 애니 중에 나은편에 속한다.  ,1
"""남들이 자신을 악당 괴물 혹은 패배자라고 편견을 갖더라도 중요한건 자신이 스스로를 어떻게 대하느냐다"" 외면은 내면의 가치를 넘어설수없다는걸 항상 느끼게 해준, 행복이 뭔지 알려준 영화. 슈렉속에 나오는 세상이 너무 부럽고 그런 사회에서 살고싶다  ",1
진짜 재밌었는데 왜 이거밖에안댐?  ,1
개인적으로 슈렉4는 최고라 생각한다..  ,1
슈렉 시리즈는 항상  결말이 훈훈해서 좋다  ,1
슈렉은 한마디로 명작 그이상인듯  ,1
제길 파콰드 경은 엔딩 크레딧에서 겨우 등장ㅋㅋㅋㅋㅋㅋ 뭐 등장해봤자였겠지만ㅋㅋ  ,1
이거 낚시에요. 너무들 하시네알바생들  ,0
똑똑한 배우 뜨악하게 남용하기.  ,0
조연에 원빈있다....  ,1
팬으로서..ㅎㅎㅎㅎ  안볼수가 없지  ,1
와 짱이넴 개봉도 안한거 성룡팬들 짱 나두 성룡팬임  ,1
이거개봉한건가여? 네이버 참...-ㅅ- 09년으로 나와잇네  ,1
성룡이다..무슨 말이더 필요합니다~~무조껀 10이다^^용형호제3대박기원 성룡만세  ,1
이것도 개봉안했는데 평점 10.00 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ  ,1
아..우리나라엔언제개봉하지ㅎㅎ제목이좀이상하긴하지만성룡때문에봄!  ,1
성룡 광팬. ㅎㅎ 근데 잼 있을라나?  ,1
"솔직히 재미없다..B급이면 주성치영화처럼 웃기기라도 해야되는데,내용 연결도 부실하고..  ",0
아닌 건 아니죠 .ㅂ뻔할 것 가ㅌ네ㅣ  ,0
보고나면 조낸 감명이 깊을 것 같았다...  ,1
돈보다 시간이 아깝다...  ,0
역시 화려한 액션.강추9점대는 솔직히 오버구요 7..5~8 정도 수준이 되겠네요  ,1
다 낚여라~~ㅋㅋㅋ  니들의 두시간은 그렇게 사라졌다  ,1
강추강추^^ 나도 혼자죽진않는다  ,1
무조건 쓰레기라고 하는데 뭐가 패러디고 뭐가 오마쥬인지 모르고 보니까 재미 없지.  ,1
성룡하고 닮기는 했네요 특히 코  ,0
성룡 아들 나오네~~  ,1
꼭 보고 싶다..국내 상영하면 대 히트 칠듯 ㅋㅋㅋ  ,1
킬링타임용에도 못 미치는 엉성한 스릴러  ,0
내용도 밋밋하고 액션도 밋밋하다..기대이하.  ,0
헐리우드 영웅 따라가려다 다리 찢어진다.  ,0
"내용도 없고 산만하고, 어디 이딴걸 영화라고 만드냐.  ",0
극장에서 안보길 잘했다.  ,0
화가나서 글을 써봅니다..포인트는 무조건 천포인트 내용은 쓰레기..ㅡㅡ  ,0
"아, 그래서 주제가 뭔데.. 지루하고 산만하고...  ",0
볼만하던데 평점이 너무 좋지 않네..  ,1
볼만했는데 평점 왜 이러지..  ,1
재밋는데 .왜 다들 재미없다고 하지jQuery22409965930810313323_1525611310643 이해안되네 영화에 너무 크게 먼가를 바라고 보시는듯...걍 영화가 영화지 ..  충분히 나쁘지 않은 영화입니다 . 킬링타임용으로 손색없습니다  ,1
"일본작품의 풍을 모르고 보면 허무할 거고, 알면 잔잔한 감동과 섬세함. 깊은 여운  ",1
이정도면 훌룡하지 않은가? 마지막 엘리베이터씬에서 유코의 섬세한 연기를 기억하는 사람만 공감  ,1
숨이 멎는 추격전과 멋진 격퇴같은 것은 없다. 다만 세상을 적으로 등지게 된 한 남자가 오직 자신을 믿어주는 사람들의 도움으로 어떻게든 살아남게 되는 이야기다. 스릴러의 영화의 전형을 따르지 않았다고 이 영화가 부족하다는 것은 어불성설이다.  ,1
국가 권력의 무서움 선량한 시민을 순식간에 범죄자로 만들어버리는.. 주연인 사카이마코토의 연기가 일품이다.  ,1
인가의 최대 무기는 신뢰다  ,1
일본영화를 보면 늘 아쉬웠던게 연기쪽이였다. 이 작품은 주인공이 연기를 진짜 잘하는것같다. 마지막 부분이 아쉬웠지만 지루하지도 않고 재밌었다.  ,1
영화자체의 완성도가 꽤 높음. 기대이상임.. 조앙 ㅋㅋ  ,1
불꽃터질때 왜캐 서글프냐... 이거 한국에선 백퍼 액션 강조하고 신파 드간다 장담함  ,1
스릴러 보다 휴머니즘을 기대한다면 100점 짜리 영화  ,1
볼만했어요 재밌는데 마지막이 조금 아쉽네요 뭔가 밝혀지고 떳떳하게 사는 모습이면 좋았을텐데  ,1
잉앙웅엉논잉닌저남ㅁ댕  ,0
도통알아듣기더북한!군국주의색채와어설픈CG남용한B급괴수특촬물!!!  ,0
평가가극악인 3류 특촬ova라는뎅~  ,0
뭔가? 하다 지치다.  ,0
걍 로빈윌리엄스 보는 맛에  ,0
왜 만들었냐?  ,0
"존트라볼타,로빈윌리암스 빼면 볼꺼없다.  ",0
그렇게 웃기지도 않고 약간 억지 스러운 내용이 많은 코미디물  ,0
"존 트라볼타, 로빈 윌리암스 보는 재미 말고는 그다지..  ",0
독신남에게 갑자기 애들이 나타나 소동이 벌어진다는 식상한 소재와 전개  ,0
타겟관객과 정체성이 불분명하니 망할 수 밖에 없다. 애들영화도 성인영화도 아닌...  ,0
"로빈 윌리엄스와 존 트라볼타, 두 스타를 주인공으로 이렇게밖에 못 만들다니  ",0
전에 재미없게본 허비보다는 그로운업스식의 코미디를 첨가한 재밌는 식사  ,0
지루하다. 원작 소설을 제대로 살리지 못한 영화.  ,0
너무나 어이가 없음..  ,0
전혀 흥미롭지 않다는게 최대 약점  ,0
관객의 인내심을 테스트하는 영화  ,0
명작 소설을 영화로 망쳐놓다.  ,0
주인공 고추크다는 밑의 평보고 관람포기..여자들 눈높이 올려놓으면 망신당할라..  ,0
소재가  좋았어.간만에  다시보기 찾으려니  없네  ,1
재미있었다. 복고풍 공포영화.  ,1
"색다른 소재와 이야기를, 전형적인 고전적 호러로 그려냈다. 미녀, 섹스어필, 에로티시즘과 호러의 궁합이 잘 맞는 편이긴 하지만, 너무 옛스럽다. 무엇보다 절정에서 힘없이 맥이 풀어지는 듯이 구성하고 연출했다는 점이 아쉽다.  ",1
book과 blood 사이에 갇히다  ,0
주진모 여유롭고 자연스런 생활연기가 너무 좋았습니다특히 2회에서 보여준 연기는 정말 쩔어요  ,1
주배우님의 비쥬얼짱인 드라마 였습니다... 스토리도 재밌었어요 ㅎㅎ  ,1
좋은 드라마였는데 연출이 좀 아쉬웠다 배우들은 굿~~  ,1
안타깝다.. 수작인게.  ,0
선덕여왕에 묻힘 ..ㅠ  ,1
마무리가.............내상각그대로네  ,0
재밋었는데ㅠㅠ선덕여왕한테묻혀서아쉽네여  ,1
"김범님 연기는 훌륭하나, 외적 모습이 캐릭터 불일치! (주진모님이 아님 시트콤! )  ",0
상대가 선덕여왕이어서 묻힌 안타까운 수작....  ,1
아직은 자세히 모르겠는데 관심이 가네요~  ,1
일본의 상상력은 이런점은 인정  ,1
고스톱으로 세계평화를!!!  ,1
"다소유치하다생각할진몰라도 그것을잘이용했어요,유치하지않게  ",1
왜 욕하시는지;; 정말 내용좋고 미래에도 이렇게될수잇을것같아서 좋음ㅇㅇ..  ,1
흐뭇하구만 그래..  ,1
이거 은근히 여운남네???  ,1
대작이야이건  ,1
어디하나 흠잡을데 없는 영화다 감독이 의도한 바를 이해해야 이영화가 단지 고스톱으로 세상을 제패하는 그런 내용이 아니라는것을 알수있다  ,1
1번봤으니2번만더봐야지  ,1
감동했습니다.다들자기계정써달라고할때가가장감동적이었어요ㅠㅠ  ,1
"실제 출장시 이 영화와 매우 유사한 일을 겪은 사람으로써 한마디..정우성의 한국식 영어, 고원원의 중국식 영어는 정말 현실적인 영어다.두 사람 영어가지고 까지 마라. 정말 딱 저 정도 수준과 저 정도 감정이면 충분하다. 추억 돋게 만드는 영화!  ",1
허진호 감독 최고의 영화라고 생각한다. 수채화 같은 사랑을 보여주는 영화.  ,1
한국판 '러브레터'.. 보면 볼수록 더 매력적인 명영화예요..^^  ,1
오늘같이 비오는밤  딱 어울리는 영화   고원원의 중국어를 듣고 중국어 배우기 시작했던 추억이 떠오른다 ..   다운로드 해놓고 가끔씩 꺼내보고 싶은 영화  ,1
노란자전거로 그들의 사랑은 계속되네  ,1
로맨스영화가 이정도면 수작이지...정우성도 멋지고 고원원 진짜 매력있다.  ,1
우리형 호우 !!!!~  ,0
왜 이제야 봤을까...오랜만에 아름다운 영화 한 편 본 것 같네요  ,1
우리형이 출연한 영화인데 당연히 10점 줘야지  ,1
호날두가 안나와서 7점  ,1
드라마 레파토릴 그대로 집어 넣은건 멍미... 초반에 그 오바의 오글거림은... 후반엔 좀 훈훈하게 끝나서 좋았다만... 사와다 신이 안나와서 아쉽...  ,1
저런선생님이 있으면 좋겠다  ,1
고쿠센 짱! 역시 고쿠센~ ㅋㄷㅋㄷ  ,1
고쿠센1부터 영화까지 음악들이 너무 좋다.  ,1
드라마와 영화의내용은 별반 다를거 없어보였지만 나카마유키에가 더무비 역시 잘 소화를 해준것같아요중반쯤에 어찌나 가슴이 짠하던지..ㅋ  ,1
우리나라에 왜 저런선생이 없나..  ,1
역시 고쿠센 완전 재미있음~특히 미우라 하루마가 제일 멌있음~ㅋㅋㅋ  ,1
지금에서야 봤네요 ㅋㅋ중학생때 고쿠센보면서 여러가지 생각을 했는데 ㅋㅋ 대학생인 지금 더무비를 보니까 감회가 새롭네요 ㅋㅋㅋㅋ 조금 유치하기도 하고 ㅋㅋㅋㅋ 고쿠센 1을 보던 그 때가 생각나기도 하고 ㅋㅋㅋㅋ 하여튼.. 잘봤습니다.  ,1
보면서 내내 양쿠미같은 선생님이 되어야지!라고 생각했다. 역시 고쿠센'-^다웠다. 마지막까지 감동과 교훈을 주는 영화임♥  ,1
크게 재미는 없으나 반가운 인물들이 많이 등장해서 ..  ,1
안경벗은 카림라시드 볼수있음  ,1
스스로가 어떤 디자이너인지 정의하는 것은 ‘자신이 세상을 어떻게 바라보느냐’를 나타내는 것  ,1
" 디자인 시작한지 얼마 안된 학생인데 DDP에서 상영해서 보게 되었고요 영화를 보고 디자인 철학에 대해서 더 깊이 생각해 볼 수 있는 계기가 된 것 같습니다. 카림 라시드, 나오토 후카사와등 유명 디자이너의 생각도 들을 수 있어서 좋았습니다.  ",1
우리에게 소중한 디자인  ,1
Sell dreams Not product  ,1
이런 영화가 더 많아지면 좋겠다  ,1
우리 인생에 녹아드는 디자인  ,1
이제 디자인은 현대인의 교양이지  ,1
"단순히 기능적, 심미적 집합체만이 디자인은 아니다  ",1
디자이너의 삶은 아름답다  ,1
밤에봐서 그런지 꽤나 스릴 있고 심심하지 않앗네요  ,1
나름 재미있었음.  ,1
그런대로 박진감있는 영화  ,1
솔직히 초반부엔 기대가 많이 됬는데 의외로 너무 너무 싱거웠다.......  ,1
몇번을 꼰다고 했지만 어디서 본 듯 하고 허술하다.  ,0
전펀보다는명성이떨어질수밖에없지만..이병헌땜에안본다고?난70세가다되도힘들게액션연기를소화해내신아놀드슈왈제네거형님때문이라도볼꺼다.  ,1
아놀드 슈왈제네거라 쓰고 터미네이터라 읽는다.  ,1
"관람객1,2에 비하면 터미네이터특유의 어두운분위기와 적당히 잔인한묘사가 모두 사라져버렸다 하지만 그래도 내가 십점을 주는이유는, 세월을 자연스럽게 인정하며 지나가는 아놀드 성님의 감동때문이다 터미네이터와 함께자란세대로써 꼭한번 보기는해야하는 영화  ",1
이야~주지사형님 그래도 여전하시네ㅎㅎ        오랫동안 액션배우로 남아주시길~  ,1
I have been waiting for you!  ,1
관람객아놀드 형님하고 T-3000보러감. 재미있었음.. 이병헌은 비중이 별로 많지를 않네  ,1
관람객내용을 기가막히게 전 시리즈와 이어가면서 초반부터 지루함없이 재밌게 봤습니다.  ,1
솔직히 아놀드형님이랑 과거아놀드랑 뜰때 지렸잖아....  ,1
아놀드 형님 나오면 무조건 바야지.. 그것도 터미네이터인데 ㅋㅋ  ,1
관람객전쟁은 잠시 미루어졌을뿐이다. 다음편을 기대하겠습니다. 주지사님 업그레이드 축하 드립니다~  ,1
로건레먼 비주얼 덕분에 끝까지 참고 볼 수 있었다  ,1
번개도둑 보다가 재밋어가지고 괴물과바다 볼려고 평점 봣는데 낮길래 번개도둑 평점 보려고 왓는데 왤케 재미 없다고 하짘ㅋㅋㅋㅋ난 재밋엇는데 그럼 괴물과 바다도 내 취향이란 거네ㅋㅋㅋ  ,1
원래  신으로주제한영화들은솔직히다 그래픽으로해야해서어쩔수없이어색한면이잇다 근데이건어색한것도많이잇지않고볼만하다 은근잼씀  ,1
유치한데.. 재미있네... ^^ 평점이 너무 낮아 좀 올려야 할 듯 애기들과 함께 보면 재미있을 듯  ,1
판타지가 너무 많이 나와서 신선도가 떨어지지만 그래도 영화적인 재미는 충분하다고 할까  ,1
판타지를 좋아하는 사람이라면 굉장히 재미있게 볼 수 있다고 생각됩니다. 아이들과 판타지를 좋아하는 어른들 - 가족과 함께 재미 있게 볼 수 있는 흥미있고 깔끔한 영화였던 것 같습니다.  ,1
원작의 긴장감은 어디로 가고 원작에서 퍼시가 포세이돈의 아들인 것이 드러나는 장면이 정말 전율을 일으키는 장면 중 하나였는데 실망...  ,0
